chapter_number,set_letter,chapter_title,question_number,question_malay,question_english,option_a_malay,option_a_english,option_b_malay,option_b_english,option_c_malay,option_c_english,option_d_malay,option_d_english,correct_answer,explanation
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,1,"Antara aktiviti harian berikut, yang manakah melakukan **kerja** paling tinggi berdasarkan takrifan fizik KSSM?",Which of the following daily activities performs the highest **work** based on the KSSM physics definition?,Menolak sebuah dinding konkrit yang tegar dengan daya $500\text{ N}$ selama 2 jam tanpa sebarang pergerakan.,,Membawa sebuah kotak berat $10\text{ kg}$ sambil berjalan secara mendatar sejauh $10\text{ m}$ dengan laju malar.,,Menarik sebuah laci meja sejauh $30\text{ cm}$ secara mendatar dengan daya geseran $5\text{ N}$ yang dimalarkan.,,Mengangkat sebuah kotak berjisim $15\text{ kg}$ secara menegak dari lantai ke atas meja berketinggian $1.2\text{ m}$ ($g = 10\text{ m s}^{-2}$).,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,2,"Satu unit S.I. bagi kerja ialah Joule (J). Antara berikut, takrifan manakah yang **paling tepat** bagi **1 Joule**?",An S.I. unit for work is Joule (J). Which of the following is the **most accurate** definition of **1 Joule**?,Kerja yang dilakukan apabila daya 1 Newton menggerakkan objek sejauh 1 meter dalam arah daya tersebut.,,Kerja yang dilakukan untuk memindahkan cas 1 Coulomb merentasi bezautara voltan 1 Volt dalam masa 1 saat.,,Kadar penggunaan tenaga elektrik sebanyak 1 Watt oleh suatu perkakas elektrik dalam masa 1 jam.,,Daya kinetik yang diperlukan untuk memecutkan objek berjisim 1 kilogram pada kadar $1\text{ m s}^{-2}$.,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,3,"Seorang buruh binaan mengangkat baldi berisi simen seberat $350\text{ N}$ secara menegak ke tingkat satu sebuah bangunan tinggi melalui sistem takal. Jika ketinggian tingkat satu tersebut ialah $8\text{ m}$ dari tanah, berapakah **kerja yang dilakukan** oleh buruh tersebut?","A construction worker lifts a bucket of cement weighing $350\text{ N}$ vertically to the first floor of a building using a pulley system. If the height of the first floor is $8\text{ m}$ from the ground, what is the **work done** by the worker?",$43.75\text{ J}$,,"$2,\!800\text{ J}$",,$280\text{ J}$,,"$3,\!500\text{ J}$",,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,4,"Rajah di bawah menunjukkan seorang murid perempuan menaiki tangga di hospital. *   Berat badan murid, $m = 45\text{ kg}$ *   Tinggi tegak tangga, $h = 4\text{ m}$ *   Masa yang diambil, $t = 12\text{ saat}$ *   Pecutan graviti, $g = 10\text{ m s}^{-2}$ Hitungkan **kuasa yang dijana** oleh murid itu semasa mendaki tangga tersebut.",The diagram below shows a female student climbing hospital stairs. Calculate the **power generated** by the student while climbing the stairs.,$150\text{ W}$,,$180\text{ W}$,,$18\text{ W}$,,"$1,\!800\text{ W}$",,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,5,"Sebuah kren elektromagnet mengangkat sebuah kontainer keluli seberat $40,\!000\text{ N}$ setinggi $15\text{ m}$ dalam masa 2 minit. Berapakah **kuasa kren** itu dalam unit **kilowatt (kW)**?","An electromagnetic crane lifts a steel container weighing $40,000\text{ N}$ to a height of $15\text{ m}$ in 2 minutes. What is the **power of the crane** in **kilowatts (kW)**?",$300\text{ kW}$,,$5\text{ kW}$,,$3\text{ kW}$,,$50\text{ kW}$,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,6,"Satu unit Kuasa sejarah yang sering digunakan dalam industri automotif ialah **Kuasa Kuda (horsepower, hp)**. Jika $1\text{ hp}$ dianggarkan bersamaan dengan $746\text{ Watt}$, berapakah nilai dalam unit Watt bagi sebuah enjin pam air pertanian yang mempunyai penarafan kuasa $2.5\text{ hp}$?","A historical unit of Power often used in the automotive industry is **horsepower (hp)**. If $1\text{ hp}$ is estimated to be equal to $746\text{ Watts}$, what is the value in Watts for an agricultural water pump engine rated at $2.5\text{ hp}$?",$298.4\text{ W}$,,"$1,\!865\text{ W}$",,"$1,\!492\text{ W}$",,"$1,\!119\text{ W}$",,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,7,"Semasa menjalankan **Aktiviti Inkuiri 7.1**, seorang murid mendapati bahawa menarik bongkah kayu secara mendatar di atas meja memerlukan daya yang berbeza berbanding mengangkat pemberat secara menegak ke atas. Antara pernyataan berikut, yang manakah menerangkan perbezaan fizikal ini dengan betul?","While conducting **Inquiry Activity 7.1**, a student finds that pulling a wooden block horizontally on a table requires a different force compared to lifting a weight vertically. Which of the following statements correctly explains this physical difference?","Menarik bongkah kayu secara mendatar melakukan kerja menentang daya tarikan graviti Bumi, manakala mengangkat pemberat menentang daya geseran.",,"Menarik bongkah kayu secara mendatar melakukan kerja menentang daya geseran meja, manakala mengangkat pemberat secara menegak melakukan kerja menentang daya tarikan graviti.",,Kedua-dua aktiviti tersebut tidak melakukan sebarang kerja kerana daya sentiasa bersudut tegak dengan arah sesaran objek.,,"Mengangkat pemberat secara menegak memerlukan tenaga kinetik yang tinggi, manakala menarik secara mendatar mengumpul tenaga keupayaan kenyal.",,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,8,Sebuah helikopter penyelamat mengangkat seorang mangsa banjir seberat $70\text{ kg}$ secara menegak ke udara sejauh $20\text{ m}$ dengan menggunakan sistem tali keluli. Berapakah **Tenaga Keupayaan Graviti** yang dikumpul oleh mangsa tersebut semasa berada di kedudukan tertinggi itu? ($g = 10\text{ m s}^{-2}$),A rescue helicopter lifts a flood victim weighing $70\text{ kg}$ vertically into the air for $20\text{ m}$ using a steel wire system. What is the **Gravitational Potential Energy** accumulated by the victim at the highest position?,"$1,\!400\text{ J}$",,$35\text{ J}$,,"$14,\!000\text{ J}$",,$140\text{ J}$,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,9,Mesin penanam cerucuk (*pile-driver*) menggunakan prinsip **Tenaga Keupayaan Graviti** untuk menghentam cerucuk konkrit masuk ke dalam tanah bawah permukaan. Mengapakah tukul besi mesin itu perlu ditarik tinggi ke atas sebelum dilepaskan jatuh?,A pile-driver machine uses the principle of **Gravitational Potential Energy** to drive concrete piles into the subsurface. Why must the iron hammer of the machine be pulled high up before being released to fall?,Untuk membolehkan tukul besi menolak daya tarikan graviti Bumi secara beransur-ansur semasa kejatuhan bebas.,,Untuk memaksimumkan luas permukaan hentaman tukul konkrit supaya tekanan tanah berkurangan.,,Untuk mengumpulkan Tenaga Keupayaan Graviti yang lebih besar supaya kerja hentaman cerucuk ke dalam tanah dapat ditingkatkan.,,Untuk mengurangkan kehilangan tenaga sebagai haba dan bunyi ke persekitaran semasa kejatuhan bebas.,,,
7,A,Bab 7: Tenaga dan Kuasa (Energy and Power) - Kuiz Set A,10,"Rajah di bawah menunjukkan seutas spring keluli yang dimampatkan oleh suatu daya luaran. *   Panjang asal spring, $l_0 = 15\text{ cm}$ *   Panjang akhir spring setelah dimampatkan, $l_1 = 11\text{ cm}$ *   Daya pemampatan maksima yang dikenakan, $F = 40\text{ N}$ Hitungkan **Tenaga Keupayaan Kenyal** yang tersimpan di dalam spring yang termampat itu.",The diagram below shows a steel spring compressed by an external force. Calculate the **Elastic Potential Energy** stored in the compressed spring.,$0.8\text{ J}$,,$1.6\text{ J}$,,$80\text{ J}$,,$160\text{ J}$,,,
